"№","Авторы","Название","Год","Название источника","Организации","Авторы организаций","Сведения о финансировании","Текст о финансировании 1","Текст о финансировании 2","ISSN","Тип документа","EID","Квартили","SJR","Тематики"
"2822","Gerasimov R.Y., Fadeev G.N., Gerasimov Y.V., Kondratova E.A.","Radiospectroscopic method for determining contents of deuterium and tritium in aqueous solutions","2016","Russian Journal of Physical Chemistry A","Bauman State Technical University, Moscow, Russian Federation","Gerasimov, R.Y., Bauman State Technical University, Moscow, Russian Federation; Fadeev, G.N., Bauman State Technical University, Moscow, Russian Federation; Gerasimov, Y.V., Bauman State Technical University, Moscow, Russian Federation; Kondratova, E.A., Bauman State Technical University, Moscow, Russian Federation","","","","360244","Article","2-s2.0-84982224682","Q4","0.255","1606;"
"2823","Syritskii A.B.","Measurement of the Wear of a Cutting Tool by a Phase Chronometer Method in the Course of Working","2016","Measurement Techniques","Bauman Moscow State Technical University, Moscow, Russian Federation","Syritskii, A.B., Bauman Moscow State Technical University, Moscow, Russian Federation","","","","5431972","Article","2-s2.0-84991018147","Q4","0.163","2604; 3105;"
"2824","Lysenko L.N., Koryanov V.V., Toporkov A.G.","Analysis of the reasonableness of the current level of required accuracy of satellite navigation of consumer systems civil mobile means","2016","MATEC Web of Conferences","Bauman Moscow State Technical University, 2-ya Baumanskaya ul. 5, Moscow, Russian Federation","Lysenko, L.N., Bauman Moscow State Technical University, 2-ya Baumanskaya ul. 5, Moscow, Russian Federation; Koryanov, V.V., Bauman Moscow State Technical University, 2-ya Baumanskaya ul. 5, Moscow, Russian Federation; Toporkov, A.G., Bauman Moscow State Technical University, 2-ya Baumanskaya ul. 5, Moscow, Russian Federation","","","","2261236X","Conference Paper","2-s2.0-84987755523","0","0.151","0"
"2825","Brom A., Gorlacheva E., Omelchenko I.","Creation of collision data base through the ""bottom-up"" approach","2016","MATEC Web of Conferences","Bauman Moscow State Technical University, 2-ya Baumanskaya, 5, Moscow, Russian Federation","Brom, A., Bauman Moscow State Technical University, 2-ya Baumanskaya, 5, Moscow, Russian Federation; Gorlacheva, E., Bauman Moscow State Technical University, 2-ya Baumanskaya, 5, Moscow, Russian Federation; Omelchenko, I., Bauman Moscow State Technical University, 2-ya Baumanskaya, 5, Moscow, Russian Federation","","","","2261236X","Conference Paper","2-s2.0-84987711743","0","0.151","0"
"2826","Fadeev G.N., Ermolaeva V.I., Boldyrev V.S., Sinkevich V.V.","Destabilization kinetics of polyvinylpyrrolidone-iodine in a field of low frequency impacts","2016","Russian Journal of Physical Chemistry A","Bauman State Technical University, Moscow, Russian Federation","Fadeev, G.N., Bauman State Technical University, Moscow, Russian Federation; Ermolaeva, V.I., Bauman State Technical University, Moscow, Russian Federation; Boldyrev, V.S., Bauman State Technical University, Moscow, Russian Federation; Sinkevich, V.V., Bauman State Technical University, Moscow, Russian Federation","","","","360244","Article","2-s2.0-84982224091","Q4","0.255","1606;"
"2827","Markov V.A., Biryukov V.V., Kas’kov S.I.","Ethanol used as an environmentally sustainable energy resource for thermal power plants","2016","Thermal Engineering ","Bauman Moscow State Technical University, ul. 2-ya Baumanskaya 5/1, Moscow, Russian Federation","Markov, V.A., Bauman Moscow State Technical University, ul. 2-ya Baumanskaya 5/1, Moscow, Russian Federation; Biryukov, V.V., Bauman Moscow State Technical University, ul. 2-ya Baumanskaya 5/1, Moscow, Russian Federation; Kas’kov, S.I., Bauman Moscow State Technical University, ul. 2-ya Baumanskaya 5/1, Moscow, Russian Federation","","","","406015","Article","2-s2.0-84983268751","Q2","0.339","2102; 2104;"
"2828","Aleshin N.P., Grigor’ev M.V., Shchipakov N.A., Prilutskii M.A., Murashov V.V.","Using nondestructive testing methods for in-production quality control of additive manufactured parts","2016","Russian Journal of Nondestructive Testing","Scientific-Research Center “Welding and Monitoring”, Bauman Moscow State Technical University, Moscow, Russian Federation","Aleshin, N.P., Scientific-Research Center “Welding and Monitoring”, Bauman Moscow State Technical University, Moscow, Russian Federation; Grigor’ev, M.V., Scientific-Research Center “Welding and Monitoring”, Bauman Moscow State Technical University, Moscow, Russian Federation; Shchipakov, N.A., Scientific-Research Center “Welding and Monitoring”, Bauman Moscow State Technical University, Moscow, Russian Federation; Prilutskii, M.A., Scientific-Research Center “Welding and Monitoring”, Bauman Moscow State Technical University, Moscow, Russian Federation; Murashov, V.V., Scientific-Research Center “Welding and Monitoring”, Bauman Moscow State Technical University, Moscow, Russian Federation","","","","10618309","Article","2-s2.0-84996523808","Q3","0.234","2210; 2211; 3104; 2500;"
"2829","Tumakova E.V.","Control of the Effect of External Factors Acting on the Operation of Electromechanical Systems","2016","Measurement Techniques","Bauman Moscow State Technical University, Moscow, Russian Federation","Tumakova, E.V., Bauman Moscow State Technical University, Moscow, Russian Federation","","","","5431972","Article","2-s2.0-84990996960","Q4","0.163","2604; 3105;"
"2830","Leontyev A.I., Onishchenko D.O., Arutyunyan G.A.","Selecting the optimum method of heat transfer intensification to improve efficiency of thermoelectric generator","2016","Thermophysics and Aeromechanics","Bauman Moscow State Technical University, Moscow, Russian Federation","Leontyev, A.I., Bauman Moscow State Technical University, Moscow, Russian Federation; Onishchenko, D.O., Bauman Moscow State Technical University, Moscow, Russian Federation; Arutyunyan, G.A., Bauman Moscow State Technical University, Moscow, Russian Federation","","","","8698643","Article","2-s2.0-85006084854","Q3","0.447","3106; 3108;"
"2831","Danhe C., Koryanov V.V.","The study of the dynamics of the spacecraft landing on a celestial body with microgravity under different fixing conditions","2016","MATEC Web of Conferences","Bauman Moscow State Technical University, Dynamics and Flight Control of Motion of Rockets and Spacecraft Department, Moscow, Russian Federation","Danhe, C., Bauman Moscow State Technical University, Dynamics and Flight Control of Motion of Rockets and Spacecraft Department, Moscow, Russian Federation; Koryanov, V.V., Bauman Moscow State Technical University, Dynamics and Flight Control of Motion of Rockets and Spacecraft Department, Moscow, Russian Federation","","","","2261236X","Conference Paper","2-s2.0-84987762201","0","0.151","0"
"2832","Zhirnov A., Anufriev M., Pozhar N., Stepanov K., Chernutsky A., Makhrov I., Nesterov E., Shelestov D., Koshelev K., Fedorov A., Karasik V., Pnev A.","Multipurpose monitoring system for icebreakers: Development, implementation, and testing","2016","MATEC Web of Conferences","Bauman Moscow State Technical University, Moscow, Russian Federation","Zhirnov, A., Bauman Moscow State Technical University, Moscow, Russian Federation; Anufriev, M., Bauman Moscow State Technical University, Moscow, Russian Federation; Pozhar, N., Bauman Moscow State Technical University, Moscow, Russian Federation; Stepanov, K., Bauman Moscow State Technical University, Moscow, Russian Federation; Chernutsky, A., Bauman Moscow State Technical University, Moscow, Russian Federation; Makhrov, I., Bauman Moscow State Technical University, Moscow, Russian Federation; Nesterov, E., Bauman Moscow State Technical University, Moscow, Russian Federation; Shelestov, D., Bauman Moscow State Technical University, Moscow, Russian Federation; Koshelev, K., Bauman Moscow State Technical University, Moscow, Russian Federation; Fedorov, A., Bauman Moscow State Technical University, Moscow, Russian Federation; Karasik, V., Bauman Moscow State Technical University, Moscow, Russian Federation; Pnev, A., Bauman Moscow State Technical University, Moscow, Russian Federation","","","","2261236X","Conference Paper","2-s2.0-84987728063","0","0.151","0"
"2833","Gladyshev V.O., Bazleva D.D., Tereshin A.A., Gladysheva T.M.","Determination of light beam curvature in a rotating Luneburg lens","2016","Technical Physics Letters","Bauman Moscow State Technical University, Moscow, Russian Federation","Gladyshev, V.O., Bauman Moscow State Technical University, Moscow, Russian Federation; Bazleva, D.D., Bauman Moscow State Technical University, Moscow, Russian Federation; Tereshin, A.A., Bauman Moscow State Technical University, Moscow, Russian Federation; Gladysheva, T.M., Bauman Moscow State Technical University, Moscow, Russian Federation","","","","10637850","Article","2-s2.0-84990963270","Q2","0.469","3101;"
"2834","Grishin Y.M., Kozlov N.P., Skryabin A.S.","Efficiency of the plasma-chemical method of preparation of silicon from quartz in an argon-hydrogen flow","2016","High Temperature","Bauman Moscow State Technical University, Moscow, Russian Federation","Grishin, Y.M., Bauman Moscow State Technical University, Moscow, Russian Federation; Kozlov, N.P., Bauman Moscow State Technical University, Moscow, Russian Federation; Skryabin, A.S., Bauman Moscow State Technical University, Moscow, Russian Federation","","","","0018151X","Article","2-s2.0-84991585494","Q2","0.455","2200; 3104;"
"2835","Gribov A.F., Krishchenko A.P., Shakhtarin B.I.","Localization of invariant compacts of a phase-lock system","2016","Journal of Communications Technology and Electronics","Bauman State Technical University, Vtoraya Baumanskaya ul. 5, Moscow, Russian Federation","Gribov, A.F., Bauman State Technical University, Vtoraya Baumanskaya ul. 5, Moscow, Russian Federation; Krishchenko, A.P., Bauman State Technical University, Vtoraya Baumanskaya ul. 5, Moscow, Russian Federation; Shakhtarin, B.I., Bauman State Technical University, Vtoraya Baumanskaya ul. 5, Moscow, Russian Federation","","","","10642269","Article","2-s2.0-84987912369","Q3","0.273","2208; 3104; 3108; 2504;"
"2836","Marakhtanov M.K.","Possible nuclear decay of bismuth induced by a mechanical impact","2016","Russian Metallurgy (Metally)","Bauman Moscow State Technical University, Vtoraya Baumanskaya ul. 5, Moscow, Russian Federation","Marakhtanov, M.K., Bauman Moscow State Technical University, Vtoraya Baumanskaya ul. 5, Moscow, Russian Federation","","","","360295","Article","2-s2.0-85010038863","Q3","0.203","2506;"
"2837","Van’ko V.I.","On the load-carrying capacity of structural members","2016","Journal of Applied Mechanics and Technical Physics","Bauman Moscow State Technical University, Moscow, Russian Federation","Van’ko, V.I., Bauman Moscow State Technical University, Moscow, Russian Federation","","","","218944","Article","2-s2.0-85006166412","Q3","0.193","2210; 2211; 3104;"
"2838","Komshin A.S., Orlova S.R.","Control of Degradation of Construction Materials in the Course of Use for the Case of String Elements","2016","Measurement Techniques","Bauman Moscow State Technical University, Moscow, Russian Federation","Komshin, A.S., Bauman Moscow State Technical University, Moscow, Russian Federation; Orlova, S.R., Bauman Moscow State Technical University, Moscow, Russian Federation","","","","5431972","Article","2-s2.0-84990990467","Q4","0.163","2604; 3105;"
"2839","Fedorov S.V.","Numerical simulation of the formation of shaped-charge jets from hemispherical liners of degressive thickness","2016","Combustion, Explosion and Shock Waves","Bauman Moscow State Technical University, Moscow, Russian Federation","Fedorov, S.V., Bauman Moscow State Technical University, Moscow, Russian Federation","","","","105082","Article","2-s2.0-84994796766","Q3","0.294","3100; 2102; 2103; 1500; 1600;"
"2840","Brom A., Gorlacheva E.","Development of logistic support for space equipment on the base of the ""sail-BMSTU"" midget spacecraft","2016","MATEC Web of Conferences","Bauman Moscow State Technical University, 2-ya Baumanskaya, 5, Moscow, Russian Federation","Brom, A., Bauman Moscow State Technical University, 2-ya Baumanskaya, 5, Moscow, Russian Federation; Gorlacheva, E., Bauman Moscow State Technical University, 2-ya Baumanskaya, 5, Moscow, Russian Federation","","","","2261236X","Conference Paper","2-s2.0-84987757811","0","0.151","0"
"2841","Remizov I.D.","Solution of the Schrödinger equation with the use of the translation operator","2016","Mathematical Notes","Bauman Moscow State Technical University, Moscow, Russian Federation; Lobachevsky Nizhnii Novgorod State University, Nizhnii Novgorod, Russian Federation","Remizov, I.D., Bauman Moscow State Technical University, Moscow, Russian Federation, Lobachevsky Nizhnii Novgorod State University, Nizhnii Novgorod, Russian Federation","","","","14346","Article","2-s2.0-84992077676","Q2","0.452","2600;"
"2842","Bogdanova Y.V., Guskov A.M.","Synergetic Control of Magnetic Bearings in Artificial Heart Ventricle Rotor","2016","Biomedical Engineering","Bauman Moscow State Technical University, Moscow, Russian Federation; National Research Center “Kurchatov Institute”, Moscow, Russian Federation","Bogdanova, Y.V., Bauman Moscow State Technical University, Moscow, Russian Federation, National Research Center “Kurchatov Institute”, Moscow, Russian Federation; Guskov, A.M., Bauman Moscow State Technical University, Moscow, Russian Federation","","","","63398","Article","2-s2.0-84990864937","Q3","0.16","3607; 2204; 2701;"
"2843","Bednov B.B.","Example of an antiproximinal, but not a 2-antiproximinal convex closed bounded body.","2016","Moscow University Mathematics Bulletin","Moscow State University, Faculty of Mechanics and Mathematics, Leninskie Gory, Moscow, Russian Federation; Bauman Moscow State Technical University, Department FN-12, ul. Baumanskaya 2-ya, 5, Moscow, Russian Federation","Bednov, B.B., Moscow State University, Faculty of Mechanics and Mathematics, Leninskie Gory, Moscow, Russian Federation, Bauman Moscow State Technical University, Department FN-12, ul. Baumanskaya 2-ya, 5, Moscow, Russian Federation","","","","271322","Article","2-s2.0-85013960831","Q4","0.195","2600;"
"2844","Éminyan K.M.","Asymptotic law of distribution of primes of special form","2016","Mathematical Notes","Financial University of the Government of the Russian Federation, Moscow, Russian Federation; Bauman Moscow State Technical University, Moscow, Russian Federation","Éminyan, K.M., Financial University of the Government of the Russian Federation, Moscow, Russian Federation, Bauman Moscow State Technical University, Moscow, Russian Federation","","","","14346","Article","2-s2.0-84992123278","Q2","0.452","2600;"
"2845","Golovin N.N., Kuvyrkin G.N.","Mathematical models of carbon-carbon composite deformation","2016","Mechanics of Solids","Moscow Institute of Thermal Technology, Beryozovaya all. 10, Moscow, Russian Federation; Bauman Moscow State Technical University, ul. 2-ya Baumanskaya 5, Moscow, Russian Federation","Golovin, N.N., Moscow Institute of Thermal Technology, Beryozovaya all. 10, Moscow, Russian Federation; Kuvyrkin, G.N., Bauman Moscow State Technical University, ul. 2-ya Baumanskaya 5, Moscow, Russian Federation","","","","256544","Article","2-s2.0-85013174090","Q4","0.143","3100; 2211;"
"2846","Shchelchkov A.V., Popov I.A., Zubkov N.N.","Boiling of a Liquid on Microstructured Surfaces Under Free-Convection Conditions","2016","Journal of Engineering Physics and Thermophysics","A. N. Tupolev Kazan National Research Technical University, 10 K. Marx Str., Kazan, Russian Federation; N. É. Bauman Moscow State Technical University, 5 2ya Baumanskaya Str., Moscow, Russian Federation","Shchelchkov, A.V., A. N. Tupolev Kazan National Research Technical University, 10 K. Marx Str., Kazan, Russian Federation; Popov, I.A., A. N. Tupolev Kazan National Research Technical University, 10 K. Marx Str., Kazan, Russian Federation; Zubkov, N.N., N. É. Bauman Moscow State Technical University, 5 2ya Baumanskaya Str., Moscow, Russian Federation","","","","10620125","Article","2-s2.0-84992145948","Q2","0.316","2200; 3104;"
"2847","Golovastov S.V., Terekhova O.","Self-ignition of hydrogen jet discharged under high pressure into a perforated channel","2016","Journal of Loss Prevention in the Process Industries","Joint Institute for High Temperatures of Russian Academy of Science, Izhorskaya Str., 13, Build. 2, Moscow, Russian Federation; Bauman Moscow State Technical University, 2nd Baumanskaya Str., 5, Moscow, Russian Federation","Golovastov, S.V., Joint Institute for High Temperatures of Russian Academy of Science, Izhorskaya Str., 13, Build. 2, Moscow, Russian Federation; Terekhova, O., Bauman Moscow State Technical University, 2nd Baumanskaya Str., 5, Moscow, Russian Federation","15-38-70017, RFBR, Russian Foundation for Basic Research; SP-1501.2016.1, RFBR, Russian Foundation for Basic Research","This work was supported by the Russian Foundation for Basic Research under grant no. 15-38-70017 , and grant of President of the Russian Federation no. SP-1501.2016.1 . Authors are grateful to Prof. Victor Golub for useful discussions, to Ivan Tarasenko and Dmitry Lenkevich for help with the experiments.","","9504230","Article","2-s2.0-84969752580","Q1","0.808","2209; 1803; 2102; 2213; 1500; 1106; 2207;"
"2848","Karpushkin E.A., Berkovich A.K., Sergeyev V.G.","Composites based on acrylic polymers and carbon nanotubes as precursors of carbon materials","2016","Polymer Science - Series C","Faculty of Chemistry, Moscow State University, Moscow, Russian Federation; Bauman Moscow State Technical University, ul. Vtoraya Baumanskaya 5, str. 1, Moscow, Russian Federation","Karpushkin, E.A., Faculty of Chemistry, Moscow State University, Moscow, Russian Federation, Bauman Moscow State Technical University, ul. Vtoraya Baumanskaya 5, str. 1, Moscow, Russian Federation; Berkovich, A.K., Faculty of Chemistry, Moscow State University, Moscow, Russian Federation; Sergeyev, V.G., Faculty of Chemistry, Moscow State University, Moscow, Russian Federation","","","","18112382","Article","2-s2.0-84979205243","Q1","0.592","2505; 2507; 1600;"
"2849","Zubkov N.N., Vasil’ev V.A.","Filtering Elements of a New Design and Equipment for Their Manufacture","2016","Metallurgist","Bauman Moscow State Technical University, Moscow, Russian Federation; Institute Tsvetmetobrabotka, Moscow, Russian Federation","Zubkov, N.N., Bauman Moscow State Technical University, Moscow, Russian Federation; Vasil’ev, V.A., Institute Tsvetmetobrabotka, Moscow, Russian Federation","","","","260894","Article","2-s2.0-84991744754","Q3","0.275","2505; 2506; 2211; 3104;"
"2850","Babenko S.P., Badin A.V., Ovchinnikov A.V.","Estimation of the permissible time for human presence in the zone of an emergency release of uranium hexafluoride with inhalation","2016","Moscow University Physics Bulletin","Department of Physics, Bauman Moscow State Technical University, Moscow, Russian Federation; Department of Physics, Moscow State University, Moscow, Russian Federation","Babenko, S.P., Department of Physics, Bauman Moscow State Technical University, Moscow, Russian Federation; Badin, A.V., Department of Physics, Moscow State University, Moscow, Russian Federation; Ovchinnikov, A.V., Department of Physics, Moscow State University, Moscow, Russian Federation","","","","271349","Article","2-s2.0-84996605715","Q3","0.273","3100;"
"2851","Zubov N.E., Mikrin E.A., Misrikhanov M.S., Ryabchenko V.N.","Solvability conditions of problem of synthesizing proportional-integral control of a linear MIMO system","2016","Journal of Computer and Systems Sciences International","OAO Energiya Rocket and Space Corporation, ul. Lenina 4A, Moscow oblast, Korolev, Russian Federation; Bauman State Technical University, Moscow, Vtoraya Baumanskaya ul. 5-1, Moscow, Russian Federation","Zubov, N.E., OAO Energiya Rocket and Space Corporation, ul. Lenina 4A, Moscow oblast, Korolev, Russian Federation, Bauman State Technical University, Moscow, Vtoraya Baumanskaya ul. 5-1, Moscow, Russian Federation; Mikrin, E.A., OAO Energiya Rocket and Space Corporation, ul. Lenina 4A, Moscow oblast, Korolev, Russian Federation, Bauman State Technical University, Moscow, Vtoraya Baumanskaya ul. 5-1, Moscow, Russian Federation; Misrikhanov, M.S., OAO Energiya Rocket and Space Corporation, ul. Lenina 4A, Moscow oblast, Korolev, Russian Federation; Ryabchenko, V.N., OAO Energiya Rocket and Space Corporation, ul. Lenina 4A, Moscow oblast, Korolev, Russian Federation, Bauman State Technical University, Moscow, Vtoraya Baumanskaya ul. 5-1, Moscow, Russian Federation","","","","10642307","Article","2-s2.0-84991661079","Q2","0.316","2604; 1705; 1707; 1710; 2614; 2207; 1712;"
"2852","Romanovskii V.R.","Size effect in the formation and failure of stable current states in composites based on high-temperature superconductors","2016","Technical Physics","National Research Center Kurchatov Institute, pl. Kurchatova 1, Moscow, Russian Federation; Bauman State Technical University, Vtoraya Baumanskaya ul. 5, Moscow, Russian Federation","Romanovskii, V.R., National Research Center Kurchatov Institute, pl. Kurchatova 1, Moscow, Russian Federation, Bauman State Technical University, Vtoraya Baumanskaya ul. 5, Moscow, Russian Federation","","","","10637842","Article","2-s2.0-84987875917","Q2","0.39","3101;"
"2853","Gudkov A.G., Bobrikhin A.F., Zelenov M.S., Leushin V.Y., Lemondzhava V.N., Marzhanovsky I.N., Chernyshev A.V.","Modeling Processes of Storage of Platelet-Containing Transfusion Media in Polymer Containers","2016","Biomedical Engineering","Bauman Moscow State Technical University, Moscow, Russian Federation; Hyperion, Ltd., Moscow, Russian Federation","Gudkov, A.G., Bauman Moscow State Technical University, Moscow, Russian Federation; Bobrikhin, A.F., Hyperion, Ltd., Moscow, Russian Federation; Zelenov, M.S., Bauman Moscow State Technical University, Moscow, Russian Federation; Leushin, V.Y., Hyperion, Ltd., Moscow, Russian Federation; Lemondzhava, V.N., Hyperion, Ltd., Moscow, Russian Federation; Marzhanovsky, I.N., Bauman Moscow State Technical University, Moscow, Russian Federation; Chernyshev, A.V., Bauman Moscow State Technical University, Moscow, Russian Federation","","","","63398","Article","2-s2.0-84990829895","Q3","0.16","3607; 2204; 2701;"
"2854","Ivanov A.O., Tuzhilin A.A.","Branched coverings and Steiner ratio","2016","International Transactions in Operational Research","Mechanical and Mathematical Faculty, Lomonosov Moscow State University, Moscow, Russian Federation; Bauman Moscow Technical University, Moscow, Russian Federation","Ivanov, A.O., Mechanical and Mathematical Faculty, Lomonosov Moscow State University, Moscow, Russian Federation, Bauman Moscow Technical University, Moscow, Russian Federation; Tuzhilin, A.A., Mechanical and Mathematical Faculty, Lomonosov Moscow State University, Moscow, Russian Federation","","","","9696016","Article","2-s2.0-84971012307","Q1","1.071","1405; 1803; 1408; 1706; 1403;"
"2855","Morozov Y.N., Fedorov V.V., Shabatin V.P., Vernaya O.I., Chernyshev V.V., Abel A.S., Arhangel’skii I.V., Shabatina T.I., Sergeev G.B.","Cryochemical modification of drugs: Nanosized form III piroxicam and its physical and chemical properties","2016","Moscow University Chemistry Bulletin","Department of Chemistry, Moscow State University, Moscow, Russian Federation; Bauman Moscow State Technical University, Moscow, Russian Federation","Morozov, Y.N., Department of Chemistry, Moscow State University, Moscow, Russian Federation; Fedorov, V.V., Department of Chemistry, Moscow State University, Moscow, Russian Federation, Bauman Moscow State Technical University, Moscow, Russian Federation; Shabatin, V.P., Department of Chemistry, Moscow State University, Moscow, Russian Federation; Vernaya, O.I., Department of Chemistry, Moscow State University, Moscow, Russian Federation; Chernyshev, V.V., Department of Chemistry, Moscow State University, Moscow, Russian Federation; Abel, A.S., Department of Chemistry, Moscow State University, Moscow, Russian Federation; Arhangel’skii, I.V., Department of Chemistry, Moscow State University, Moscow, Russian Federation; Shabatina, T.I., Department of Chemistry, Moscow State University, Moscow, Russian Federation, Bauman Moscow State Technical University, Moscow, Russian Federation; Sergeev, G.B., Department of Chemistry, Moscow State University, Moscow, Russian Federation","","","","271314","Article","2-s2.0-85014471667","Q3","0.188","1600;"
"2856","Grigoryants A.G., Shiganov I.N., Micyurov A.I., Malov I.E., Mikhailov V.S., Kolomeets N.P.","Development of technology and equipment for ultrasonic shock treatment of welded joints","2016","Welding International","N.E. Bauman Moscow State Technical University, Moscow, Russian Federation; TsTSS Company, St Petersburg, Russian Federation; Ultrazvukovoe Oborudovanie, St Petersburg, Russian Federation","Grigoryants, A.G., N.E. Bauman Moscow State Technical University, Moscow, Russian Federation, TsTSS Company, St Petersburg, Russian Federation, Ultrazvukovoe Oborudovanie, St Petersburg, Russian Federation; Shiganov, I.N., N.E. Bauman Moscow State Technical University, Moscow, Russian Federation; Micyurov, A.I., N.E. Bauman Moscow State Technical University, Moscow, Russian Federation; Malov, I.E., N.E. Bauman Moscow State Technical University, Moscow, Russian Federation; Mikhailov, V.S., TsTSS Company, St Petersburg, Russian Federation; Kolomeets, N.P., Ultrazvukovoe Oborudovanie, St Petersburg, Russian Federation","","","","9507116","Article","2-s2.0-84975455501","Q3","0.199","2506; 2210; 2211;"
"2857","Demidov A.B., Gagarin V.I., Mosharov S.A.","Measurement of water column primary production using photosynthesis-irradiance relations for surface phytoplankton, the vertical chlorophyll profile, and underwater light intensity","2016","Oceanology","Shirshov Institute of Oceanology, Russian Academy of Sciences, Moscow, Russian Federation; Bauman Moscow State Technical University, Moscow, Russian Federation","Demidov, A.B., Shirshov Institute of Oceanology, Russian Academy of Sciences, Moscow, Russian Federation; Gagarin, V.I., Shirshov Institute of Oceanology, Russian Academy of Sciences, Moscow, Russian Federation; Mosharov, S.A., Shirshov Institute of Oceanology, Russian Academy of Sciences, Moscow, Russian Federation, Bauman Moscow State Technical University, Moscow, Russian Federation","","","","14370","Article","2-s2.0-85013860047","Q3","0.371","1910;"
"2858","Machikhin A.S., Shurygin A.V., Pozhar V.E.","Spatial and spectral calibration of an acousto-optical spectrometer","2016","Instruments and Experimental Techniques","Scientific and Technological Center of Unique Instrumentation, Russian Academy of Sciences, ul. Butlerova 15, Moscow, Russian Federation; National Research University Moscow Power Engineering Institute (Technical University), ul. Krasnokazarmennaya 14, Moscow, Russian Federation; Bauman State Technical University, Vtoraya Baumanskaya ul. 5 str.1, Moscow, Russian Federation","Machikhin, A.S., Scientific and Technological Center of Unique Instrumentation, Russian Academy of Sciences, ul. Butlerova 15, Moscow, Russian Federation, National Research University Moscow Power Engineering Institute (Technical University), ul. Krasnokazarmennaya 14, Moscow, Russian Federation; Shurygin, A.V., Scientific and Technological Center of Unique Instrumentation, Russian Academy of Sciences, ul. Butlerova 15, Moscow, Russian Federation; Pozhar, V.E., Scientific and Technological Center of Unique Instrumentation, Russian Academy of Sciences, ul. Butlerova 15, Moscow, Russian Federation, Bauman State Technical University, Vtoraya Baumanskaya ul. 5 str.1, Moscow, Russian Federation","","","","204412","Article","2-s2.0-84988826743","Q3","0.314","3105;"
"2859","Kanatnikov A.N., Krishchenko A.P.","Localizing sets and trajectory behavior","2016","Doklady Mathematics","Bauman Moscow State Technical University, Vtoraya Baumanskaya ul. 5, Moscow, Russian Federation; Institute for Systems Analysis, Federal Research Center “Computer Science and Control,”, Russian Academy of Sciences, pr. 60-letiya Oktyabrya 9, Moscow, Russian Federation","Kanatnikov, A.N., Bauman Moscow State Technical University, Vtoraya Baumanskaya ul. 5, Moscow, Russian Federation, Institute for Systems Analysis, Federal Research Center “Computer Science and Control,”, Russian Academy of Sciences, pr. 60-letiya Oktyabrya 9, Moscow, Russian Federation; Krishchenko, A.P., Bauman Moscow State Technical University, Vtoraya Baumanskaya ul. 5, Moscow, Russian Federation, Institute for Systems Analysis, Federal Research Center “Computer Science and Control,”, Russian Academy of Sciences, pr. 60-letiya Oktyabrya 9, Moscow, Russian Federation","","","","10645624","Article","2-s2.0-84994745100","Q2","0.427","2600;"
"2860","Isaev S.A., Leontiev A.I., Baranov P.A., Popov I.A., Shchelchkov A.V., Gabdrakhmanov I.P.","Numerical Simulation of the Intensification of the Heat Exchange in a Plane-Parallel Channel with a Cylindrical Shallow Dimple on the Heated Wall","2016","Journal of Engineering Physics and Thermophysics","A. N. Tupolev Kazan National Research Technical University (Kazan Aviation Institute), 10 K. Marx Str., Kazan, Russian Federation; N. É. Bauman Moscow State Technical University, 5 2nd Bauman Str., Moscow, Russian Federation; St. Petersburg State University of Civil Aviation, 38 Pilotov Str., St. Petersburg, Russian Federation","Isaev, S.A., A. N. Tupolev Kazan National Research Technical University (Kazan Aviation Institute), 10 K. Marx Str., Kazan, Russian Federation; Leontiev, A.I., N. É. Bauman Moscow State Technical University, 5 2nd Bauman Str., Moscow, Russian Federation; Baranov, P.A., St. Petersburg State University of Civil Aviation, 38 Pilotov Str., St. Petersburg, Russian Federation; Popov, I.A., A. N. Tupolev Kazan National Research Technical University (Kazan Aviation Institute), 10 K. Marx Str., Kazan, Russian Federation; Shchelchkov, A.V., A. N. Tupolev Kazan National Research Technical University (Kazan Aviation Institute), 10 K. Marx Str., Kazan, Russian Federation; Gabdrakhmanov, I.P., A. N. Tupolev Kazan National Research Technical University (Kazan Aviation Institute), 10 K. Marx Str., Kazan, Russian Federation","","","","10620125","Article","2-s2.0-84992053176","Q2","0.316","2200; 3104;"
